company,srn,address,city,zip_code,pti_no.,approved,notes
ITW FOILS,N2344,1011 INDUSTRIAL AVENUE,MOUNT PLEASNT,48858,829-90C,11/21/2007,
BANDIT INDUSTRIES,N5223,6750 MILLBROOK ROAD,REMUS,49340,387-93B,3/23/2020,
SUMMIT PETROLEUM CORPORATION,N1617,4725 N ISABELLA ROAD,ROSEBUSH,48878,631-82I,5/3/2006,Revised
BRUCE WALDRON EXCAVATING,P1166,8000 E BLANCHARD ROAD,SHEPHERD,48883,5-21,2/17/2021,
"MORBARK, INC",N1701,8507 S WINN ROAD,WINN,48896,138-15,8/7/2015,Revised
"MORBARK, LLC",N1701,8507 S WINN ROAD,WINN,48896,511-89E,12/20/2019,Revised
"CASTER CONCEPTS, INC",N5681,16000 E MICHIGAN AVENUE,ALBION,49224,20-20,3/6/2020,
"JACKSON CREMATORY SERVICES, INC",P0908,1016 TORO DRIVE,BLACKMAN TOWNSHIP,49201,24-18,3/28/2018,
"JACKSON CREMATORY SERVICES, INC",P0908,1016 TORO DRIVE,BLACKMAN TOWNSHIP,49201,108-11B,3/28/2018,
"PARTRIDGE ENTERPRISES, INC",N3765,4705 INDUSTRIAL DRIVE,CLARK LAKE,49234,53-99,3/29/1999,
"PARTRIDGE ENTERPRISES, INC",N3765,4705 INDUSTRIAL DRIVE,CLARK LAKE,49234,8-02,3/11/2002,
"PARTRIDGE ENTERPRISES, INC",N3765,4705 INDUSTRIAL DRIVE,CLARK LAKE,49234,246-05,10/13/2005,
"PARTRIDGE ENTERPRISES, INC",N3765,4705 INDUSTRIAL DRIVE,CLARK LAKE,49234,32-09A,8/13/2009,
"PARTRIDGE ENTERPRISES, INC",N3765,4705 INDUSTRIAL DRIVE,CLARK LAKE,49234,167-15,11/15/2015,
"PARTRIDGE ENTERPRISES, INC",N3765,4705 INDUSTRIAL DRIVE,CLARK LAKE,49234,26-21,6/16/2021,
SAVOY ENERGY LP,P0743,"SEC 14, T4S, R1E",COLUMBIA TOWNSHIP,49234,188-18A,4/17/2020,
CARL SCHEGEL,P1089,4500 MANN ROAD,CONCORD,48001,181-19,10/29/2019,General PTI
TENNECO AUTOMOTIVE OPERATING,N2668,3901 WILLIS ROAD,GRASS LAKE,49240,28-20,6/25/2020,
"AGGREGATE RESOURCES, INC",N5436,4950 LOVELAND ROAD,GRASS LAKE,49240,37-01,1/23/2001,General PTI
BAILEY SAND & GRAVEL COMPANY,N8341,BOHNE ROAD - BET KALMBACH &,GRASS LAKE,49240,251-09,10/30/2009,
"STONECO, INC",N6565,8760 E CHICAGO ROAD,HORTON,49246,323-06,10/26/2006,General PTI
MICHNER PLATING COMPANY,A1844,1725 ANGLING ROAD,JACKSON,49203,529-84A,3/28/1997,
INDUSTRIAL STEEL TREATING COMPANY,A1864,613 CARROLL STREET,JACKSON,49202,78-18,5/16/2018,General PTI
INDUSTRIAL STEEL TREATING COMPANY,A1864,613 CARROLL STREET,JACKSON,49202,394-07B,6/18/2018,
CLASSIC METAL FINISHES,A1916,2500 W ARGYLE STREET,JACKSON,49202,175-17,12/15/2017,
EATON AEROSPACE,B1657,300 S EAST AVENUE,JACKSON,49203,14-11,3/1/2011,
EATON AEROSPACE,B1657,300 S EAST AVENUE,JACKSON,49203,48-20,8/5/2020,
"PIONEER FOUNDRY COMPANY, INC",B1661,606 WATER STREET,JACKSON,49203,207-98A,6/5/2017,
"OMNISOURCE, LLC",B2281,701 LEWIS STREET,JACKSON,49203,93-04A,1/6/2005,
MICHIGAN DEPT OF CORRECTIONS,B2589,4000 COOPER STREET - JACKSON,JACKSON,49201,135-15,9/22/2015,
CONSUMERS ENERGY COMPANY,B2933,1945 W PARNALL ROAD,JACKSON,49201,1-13,4/5/2013,
GERDAU MACSTEEL,B4306,3100 BROOKLYN ROAD,JACKSON,49203,183-01,8/9/2001,
GERDAU SPECIAL STEEL NORTH AMERICA,B4306,3100 BROOKLYN ROAD,JACKSON,49203,174-18,3/6/2019,Rolled into ROP
GERDAU SPECIAL STEEL NORTH AMERICA,B4306,3100 BROOKLYN ROAD - JACKSON MILL,JACKSON,49203,118-19,9/23/2019,Rolled into ROP
QUANEX CORPORATION,B4306,3100 BROOKLYN ROAD - MACSTEEL,JACKSON,49203,535-96B,11/24/1999,Rolled into ROP
QUANEX CORPORATION,B4306,3100 BROOKLYN ROAD - MACSTEEL,JACKSON,49203,24-06,3/31/2006,Rolled into ROP
QUANEX CORPORATION,B4306,3100 BROOKLYN ROAD - MACSTEEL,JACKSON,49203,535-96I,11/14/2006,Rolled into ROP
"TMS INTERNATIONAL, LLC",B4306,3100 BROOKLYN ROAD,JACKSON,49203,146-18,9/27/2018,Rolled into ROP
CITGO PETROLEUM CORPORATION,B9041,2001 MORRILL ROAD,JACKSON,49201,103-06A,12/21/2011,
"MPLX TERMINALS, LLC",B9074,2090 MORRILL ROAD - JACKSON TERMINAL,JACKSON,49201,157-08B,9/19/2011,
"BUCKEYE TERMINALS, LLC",B9131,2103 MORRILL ROAD,JACKSON,49201,363-98,6/17/1999,Revised
"JACKSON INDUSTRIAL COATING SERVICE,",N0977,3600 SCHEELE DRIVE,JACKSON,49202,187-17,12/12/2017,General PTI
CERTAINTEED CORPORATION,N1651,701 E WASHINGTON AVENUE,JACKSON,49203,1061-91A,9/2/1997,
"TAC MANUFACTURING, INC",N2908,4111 COUNTY FARM ROAD,JACKSON,49201,254-02E,10/25/2019,
ELM PLATING COMPANY,N3209,1319 S ELM STREET,JACKSON,49203,136-00,3/27/2001,
ELM PLATING COMPANY,N3209,1319 S ELM STREET,JACKSON,49203,238-04,10/13/2004,
"APC-JACKSON, LLC",N3293,2400 E HIGH STREET,JACKSON,49203,1235-91B,9/22/2006,
MICHIGAN PAVING & MATERIALS,N5460,1600 N ELM AVENUE,JACKSON,49202,218-94A,5/9/2007,
JACKSON TUMBLE FINISH,N5713,1801 MITCHELL STREET,JACKSON,49203,33-18,4/11/2018,
"GREAT LAKES METAL FINISHING, INC",N6591,120 S DWIGHT STREET,JACKSON,49203,153-99A,7/2/2013,
CONSUMERS ENERGY COMPANY,N6626,2219 CHAPIN STREET - JACKSON,JACKSON,49203,118-18,4/2/2019,Rolled into ROP
K M POWER COMPANY,N6626,2219 CHAPIN STREET,JACKSON,49203,206-99A,6/26/2000,Rolled into ROP
"CARR BROTHERS & SONS, INC",N6883,2400 N ELM AVENUE - PLANT 1,JACKSON,49201,333-00,10/17/2000,General PTI
"GRANGER MATERIALS, INC",N7122,1073 TORO DRIVE,JACKSON,49201,95-02,4/22/2002,General PTI
JACKSON METAL CLEANING,N8188,3507 WAYLAND DRIVE,JACKSON,49202,366-08B,1/14/2014,
"CHEMETALL US, INC",P0359,1100 TECHNOLOGY DRIVE,JACKSON,49203,88-12E,5/25/2018,
"JSP INTERNATIONAL, LLC",P0459,4335 COUNTY FARM ROAD,JACKSON,49201,120-13A,1/7/2015,
ELM PLATING COMPANY,P0636,533 HUPP STREET,JACKSON,49203,113-16,8/26/2016,
ELM PLATING COMPANY,P0636,533 HUPP STREET,JACKSON,49203,113-16B,9/25/2020,
WEST BAY EXPLORATION COMPANY,P0711,5720 BANER ROAD,JACKSON,49201,95-16,8/29/2016,
"HARD ROCK QUARRY, LLC",P0723,5290 BUNKERHILL ROAD,JACKSON,49201,130-16,8/4/2016,General PTI
"KALIN CONSTRUCTION COMPANY, INC",P0834,7855 DIXON ROAD,JACKSON,49201,114-17,8/2/2017,General PTI
"LESTER BROTHERS, INC",P1107,5405 E MICHIGAN AVENUE,JACKSON,49201,12-20,2/10/2020,General PTI
WEST BAY EXPLORATION COMPANY,P0794,8401 DORRELL ROAD,LEONI TOWNSHIP,49201,110-19,7/31/2019,
"ROYAL ADHESIVES & SEALANTS, LLC",A1932,4401 PAGE AVENUE,MICHIGAN CENTER,49254,99-10B,8/5/2014,
ADMIRAL PETROLEUM COMPANY,N7639,4001 PAGE AVENUE,MICHIGAN CENTER,49254,222-06,7/27/2006,General PTI
JOURNEY'S END PET SERVICES,N7481,8271 DUNN ROAD,MUNITH,49259,119-05,5/31/2005,
"BUCKEYE TERMINALS, LLC",B4380,6777 BROOKLYN ROAD,NAPOLEON,49261,437-93C,6/6/2017,
WEST BAY EXPLORATION COMPANY,P0793,11123 PALMER ROAD,NORVELL TOWNSHIP,49230,175-18,11/7/2018,
"MICHIGAN AUTOMOTIVE COMPRESSOR,",N1966,2400 N DEARING ROAD,PARMA,49269,137-01,9/25/2001,Rolled into ROP
"MICHIGAN AUTOMOTIVE COMPRESSOR,",N1966,2400 N DEARING ROAD,PARMA,49269,611-88B,10/8/2001,Rolled into ROP
"MICHIGAN AUTOMOTIVE COMPRESSOR,",N1966,2400 N DEARING ROAD,PARMA,49269,163-02,8/30/2002,Rolled into ROP
"MICHIGAN AUTOMOTIVE COMPRESSOR,",N1966,2400 N DEARING ROAD,PARMA,49269,611-88C,3/13/2003,Rolled into ROP
"MICHIGAN AUTOMOTIVE COMPRESSOR,",N1966,2400 N DEARING ROAD,PARMA,49269,611-88D,1/30/2004,Rolled into ROP
"MICHIGAN AUTOMOTIVE COMPRESSOR,",N1966,2400 N DEARING ROAD,PARMA,49269,200-04A,9/28/2009,Rolled into ROP
"MICHIGAN AUTOMOTIVE COMPRESSOR,",N1966,2400 N DEARING ROAD,PARMA,49269,170-11B,9/21/2012,Rolled into ROP
"MICHIGAN AUTOMOTIVE COMPRESSOR,",N1966,2400 N DEARING ROAD,PARMA,49269,47-14,4/15/2014,Rolled into ROP
SPRING ARBOR COATINGS,N8206,190 W MAIN STREET,SPRING ARBOR,49283,23-17A,8/17/2018,
"SPECIALTY CASTINGS, INC",B4307,211 MILL STREET,SPRINGPORT,49284,223-09,4/23/2010,
"BALKEMA EXCAVATING, INC",N6416,15600 E MICHIGAN AVENUE,CLIMAX,49034,225-99,9/21/1999,General PTI
"BALKEMA EXCAVATING, INC",N6589,15600 E MICHIGAN AVENUE,CLIMAX,49001,224-99,9/9/1999,General PTI
"BALKEMA EXCAVATING, INC",N7390,15600 E MICHIGAN AVENUE,CLIMAX,49034,212-04,8/23/2004,General PTI
"CMS GENERATION MI POWER, LLC",N6731,"E 1/2 SEC 20, T2S, R10W",COMSTOCK TOWNSHIP,49041,313-98B,5/6/1999,Rolled into ROP
KALAMAZOO RIVER GENERATING STATION,N6731,6900 E MICHIGAN AVENUE,COMSTOCK TOWNSHIP,49093,8-18,7/3/2018,Rolled into ROP
EATON CORPORATION,B2209,13100 E MICHIGAN AVENUE,GALESBURG,49053,323-97A,10/3/2001,
"BENTELER INDUSTRIES, INC",N2286,9000 E MICHIGAN AVENUE,GALESBURG,49053,31-01,1/18/2001,General PTI
"BELLS BREWERY, INC",P0516,8938 KRUM AVENUE,GALESBURG,49053,102-14B,9/7/2018,
KALSEC EXTRACTION,A1991,3713 W MAIN STREET,KALAMAZOO,49005,106-05,4/27/2005,Rolled into ROP
"KALSEC, INC",A1991,3713 W MAIN STREET,KALAMAZOO,49005,104-95A,1/16/1997,Rolled into ROP
"KALSEC, INC",A1991,3713 W MAIN STREET,KALAMAZOO,49005,72-14,7/14/2014,Rolled into ROP
"KALSEC, INC",A1991,3713 W MAIN STREET,KALAMAZOO,49005,158-18A,3/29/2021,Rolled into ROP
"KALSEC, INC",A1991,3713 W MAIN STREET,KALAMAZOO,49005,27-21,6/21/2021,Rolled into ROP
BORROUGHS CORPORATION,A2005,3002 N BURDICK STREET,KALAMAZOO,49004,288-02,2/3/2003,
ROOT SPRING SCRAPER COMPANY,A2111,527 W NORTH STREET,KALAMAZOO,49007,152-02,6/20/2002,General PTI
PARKER,B0118,2220 PALMER AVENUE - AEROSPACE,KALAMAZOO,49001,71-14,7/11/2014,
"ALLNEX USA, INC",B1677,2715 MILLER ROAD,KALAMAZOO,49001,418-96H,3/29/2018,Rolled into ROP
FORT JAMES OPERATING COMPANY,B1678,1421 N PITCHER STREET,KALAMAZOO,49007,71-89B,12/11/1997,Rolled into ROP
FORT JAMES OPERATING COMPANY,B1678,1500 N PITCHER STREET,KALAMAZOO,49007,423-91A,5/11/1998,Rolled into ROP
FORT JAMES OPERATING COMPANY,B1678,1500 N PITCHER STREET,KALAMAZOO,49007,107-99,8/25/1999,Rolled into ROP
GRAPHIC PACKAGING CORPORATION,B1678,1421 N PITCHER STREET,KALAMAZOO,49007,61-03,9/22/2003,Rolled into ROP
"GRAPHIC PACKAGING INTERNATIONAL,",B1678,1421 N PITCHER STREET,KALAMAZOO,49007,196-08,8/29/2008,Rolled into ROP
"GRAPHIC PACKAGING INTERNATIONAL,",B1678,1500 N PITCHER STREET,KALAMAZOO,49007,196-08A,10/1/2009,Rolled into ROP
"GRAPHIC PACKAGING INTERNATIONAL,",B1678,1500 N PITCHER STREET,KALAMAZOO,49007,99-11,10/20/2011,Rolled into ROP
"GRAPHIC PACKAGING INTERNATIONAL,",B1678,1500 N PITCHER STREET,KALAMAZOO,49007,99-11A,9/12/2013,Rolled into ROP
"GRAPHIC PACKAGING INTERNATIONAL,",B1678,1500 N PITCHER STREET,KALAMAZOO,49007,82-14,8/28/2014,Rolled into ROP
"GRAPHIC PACKAGING INTERNATIONAL,",B1678,1810 N PITCHER STREET,KALAMAZOO,49007,133-19A,11/24/2020,
GRAPHIC PACKAGING MICHIGAN,B1678,1421 N PITCHER STREET,KALAMAZOO,49007,274-00,12/20/2000,Rolled into ROP
"JAMES RIVER PAPER COMPANY, INC",B1678,1500 N PITCHER STREET,KALAMAZOO,49007,431-92A,11/25/1997,Rolled into ROP
KAISER ALUMINUM FABRICATED,B1686,5205 KAISER DRIVE,KALAMAZOO,49048,113-09D,4/18/2012,Revised
"HECO, INC",B1692,3509 S BURDICK STREET,KALAMAZOO,49001,168-13A,5/15/2015,
"KALAMAZOO, CITY OF",B1696,1415 N HARRISON STREET,KALAMAZOO,49007,220-00,10/4/2000,
"KALAMAZOO, CITY OF",B1696,1415 N HARRISON STREET,KALAMAZOO,49007,105-13,8/26/2013,
MICHIGAN PAVING & MATERIALS,B2992,2000 GLENDENNING ROAD,KALAMAZOO,49001,217-91E,3/27/2009,
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7171 PORTAGE ROAD,KALAMAZOO,49001,132-94C,3/9/2000,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,1351-91M,7/11/2001,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,424-92M,7/19/2001,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,1016-92A,1/31/2002,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,929-92I,4/12/2002,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7171 PORTAGE ROAD,KALAMAZOO,49001,108-92I,4/24/2002,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,242-80B,6/6/2002,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,929-92J,8/16/2002,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,227-02,5/6/2003,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,55-03,5/23/2003,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,201-04,12/15/2004,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,137-03A,3/14/2005,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,100-05,5/12/2005,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,172-05,7/22/2005,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,91-05,8/29/2005,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,272-05,10/5/2005,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,153-06,6/14/2006,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,12-06A,9/27/2006,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,106-07,8/2/2007,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,21-08,3/4/2008,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,20-08,3/19/2008,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,68-08,4/10/2008,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,297-08,10/17/2008,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,10-09,3/18/2009,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,211-10,11/30/2010,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,57-11,5/5/2011,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,85-11,8/31/2011,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,297-08B,10/8/2012,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,125-12,11/14/2012,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,58-13,6/6/2013,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,125-12A,7/5/2013,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,116-13,8/19/2013,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,66-14,5/29/2014,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,125-12B,6/30/2014,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,174-14,11/24/2014,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,46-15,3/31/2015,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,81-15,6/2/2015,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,225-15,1/19/2016,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,234-15,1/29/2016,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,233-15,2/29/2016,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,178-15,3/15/2016,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,89-16,6/20/2016,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,82-16,6/28/2016,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,97-16,7/14/2016,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,30-17,3/27/2017,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,132-17,10/23/2017,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,132-17A,4/30/2018,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,26-18,5/21/2018,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,1-19,2/7/2019,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,21-19,4/15/2019,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,107-19,8/13/2019,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,149-19,9/23/2019,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,16-19A,9/9/2020,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,49-20,10/20/2020,
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,135-20,3/10/2021,
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,167-20,6/18/2021,
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,26-18A,7/2/2021,Rolled into ROP
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,30-21,7/2/2021,
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,37-21,7/8/2021,
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,66-21,9/13/2021,
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,30-21A,12/6/2021,
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,116-21,1/14/2022,
"PHARMACIA & UPJOHN COMPANY, LLC",B3610,7000 PORTAGE ROAD - A SUBSIDIARY OF,KALAMAZOO,49001,4-22,1/21/2022,
"ZOETIS, LLC",B4288,306 PITCHER STREET,KALAMAZOO,49007,4-13B,5/1/2015,
"ZOETIS, LLC",B7149,2605 E KILGORE ROAD,KALAMAZOO,49001,30-05C,6/13/2017,
"ZOETIS, LLC",B7149,2605 E KILGORE ROAD,KALAMAZOO,49001,73-17A,9/17/2018,
"ZOETIS, LLC",B7149,2605 E KILGORE ROAD,KALAMAZOO,49001,73-17B,1/28/2020,
"ZOETIS, LLC",B7149,2605 E KILGORE ROAD,KALAMAZOO,49001,73-17C,2/17/2021,
HAMMOND ROTO-FINISH,B7546,1600 DOUGLAS AVENUE,KALAMAZOO,49007,113-12,9/11/2012,
HEXACOMB,B7990,809 HARRISON STREET,KALAMAZOO,49007,161-02C,1/13/2014,
"EVERGREEN PACKAGING, INC",B8574,2315 MILLER ROAD,KALAMAZOO,49001,102-07B,10/21/2016,
TOP GRADE AGGREGATES,E2842,700 NAZARETH ROAD,KALAMAZOO,49001,226-99,9/9/1999,General PTI
BORGESS MEDICAL CENTER,E4168,1521 GULL ROAD,KALAMAZOO,49048,265-09,11/16/2009,General PTI
BRONSON METHODIST HOSPITAL,E4169,601 JOHN STREET,KALAMAZOO,49007,252-10,2/11/2011,
WESTERN MICHIGAN UNIVERSITY,K2131,1903 W MICHIGAN AVENUE - KRPH,KALAMAZOO,49008,2-91D,11/13/1998,Rolled into ROP
WESTERN MICHIGAN UNIVERSITY,K2131,1801 STADIUM DRIVE,KALAMAZOO,49008,46-03,4/21/2003,Rolled into ROP
WESTERN MICHIGAN UNIVERSITY,K2131,1201 OLIVER STREET,KALAMAZOO,49008,8-04,3/1/2004,Rolled into ROP
WESTERN MICHIGAN UNIVERSITY,K2131,1903 W MICHIGAN AVENUE,KALAMAZOO,49008,154-05A,2/2/2006,Rolled into ROP
WESTERN MICHIGAN UNIVERSITY,K2131,1903 W MICHIGAN AVENUE,KALAMAZOO,49008,154-05C,11/14/2007,Rolled into ROP
WESTERN MICHIGAN UNIVERSITY,K2131,1903 W MICHIGAN AVENUE - KRPH,KALAMAZOO,49008,201-08,10/21/2008,Rolled into ROP
WESTERN MICHIGAN UNIVERSITY,K2131,1903 W MICHIGAN AVENUE - BERNHARD,KALAMAZOO,49008,144-09,10/1/2009,Rolled into ROP
WESTERN MICHIGAN UNIVERSITY,K2131,1903 W MICHIGAN AVENUE,KALAMAZOO,49008,17-11A,5/2/2012,Rolled into ROP
WESTERN MICHIGAN UNIVERSITY,K2131,1903 W MICHIGAN AVENUE,KALAMAZOO,49008,132-12,11/26/2012,Rolled into ROP
WESTERN MICHIGAN UNIVERSITY,K2131,1903 W MICHIGAN AVENUE,KALAMAZOO,49008,163-11A,4/8/2013,Rolled into ROP
